state_code,state_name,district_code,district_name,
2,Himachal Pradesh,1,Chamba,
2,Himachal Pradesh,2,Kangra,
2,Himachal Pradesh,3,Lahul & Spiti,
2,Himachal Pradesh,4,Kullu,
2,Himachal Pradesh,5,Mandi,
2,Himachal Pradesh,6,Hamirpur,
2,Himachal Pradesh,7,Una,
2,Himachal Pradesh,8,Bilaspur,
2,Himachal Pradesh,9,Solan,
2,Himachal Pradesh,10,Sirmaur,
2,Himachal Pradesh,11,Shimla,
2,Himachal Pradesh,12,Kinnaur,
,,,,
3,Punjab,1,Gurdaspur,
3,Punjab,2, Amritsar,
3,Punjab,3,Kapurthala,
3,Punjab,4, Jalandhar,
3,Punjab,5,Hoshiarpur,
3,Punjab,6,Shahid Bhagat Singh Nagar,
3,Punjab,7,Rupnagar,
3,Punjab,8,Fatehgarh Sahib,
3,Punjab,9,Ludhiana,
3,Punjab,10,Moga,
3,Punjab,11,Firozpur,
3,Punjab,12,Muktsar,
3,Punjab,13,Faridkot,
3,Punjab,14,Bhathinda,
3,Punjab,15,Mansa,
3,Punjab,16,Sangrur,
3,Punjab,17,Patiala,
3,Punjab,18,SAS Nagar,
3,Punjab,19,Barnala,
3,Punjab,20,Taran Taran,
,,,,
4,Chandigarh,1,Chandigarh,
,,,,
5,Uttrakhand,1,Uttarkashi,
5,Uttrakhand,2,Chamoli,
5,Uttrakhand,3,Rudraprayag,
5,Uttrakhand,4,Tehri Garhwal,
5,Uttrakhand,5,Dehradun,
5,Uttrakhand,6,Garhwal,
5,Uttrakhand,7,Pithoragarh,
5,Uttrakhand,8,Bageshwar,
5,Uttrakhand,9,Almora,
5,Uttrakhand,10,Champawat,
5,Uttrakhand,11,Nainital,
5,Uttrakhand,12,Udham Singh Nagar,
5,Uttrakhand,13,Hardwar,
,,,,
6,Haryana,1,Panchkula,
6,Haryana,2,Ambala,
6,Haryana,3,Yamunanagar,
6,Haryana,4,Kurukshetra,
6,Haryana,5,Kaithal,
6,Haryana,6,Karnal,
6,Haryana,7,Panipath,
6,Haryana,8,Sonipath,
6,Haryana,9,Jind,
6,Haryana,10,Fatehabad,
6,Haryana,11,Sirsa,
6,Haryana,12,Hisar,
6,Haryana,13,Bhiwani,
6,Haryana,14,Rohtak,
6,Haryana,15,Jhajjar,
6,Haryana,16,Mahendragarh,
6,Haryana,17,Rewari,
6,Haryana,18,Gurgaon,
6,Haryana,19,Faridabad,
6,Haryana,20,Mewat,
6,Haryana,21,Palwal,
,,,,
8,Rajasthan,1,Ganganagar,
8,Rajasthan,2,Hamumagarh,
8,Rajasthan,3,Bikaner,
8,Rajasthan,4,Churu,
8,Rajasthan,5,Jhunjhunun,
8,Rajasthan,6,Alwar,
8,Rajasthan,7,Bharatpur,
8,Rajasthan,8,Dhaulpur,
8,Rajasthan,9,Karauli,
8,Rajasthan,10,Sawai Madhopur,
8,Rajasthan,11,Dausa,
8,Rajasthan,12,Jaipur,
8,Rajasthan,13,Sikar,
8,Rajasthan,14,Nagaur,
8,Rajasthan,15,Jodhpur,
8,Rajasthan,16,Jaisalmer,
8,Rajasthan,17,Barmer,
8,Rajasthan,18,Jalore,
8,Rajasthan,19,Sirohi,
8,Rajasthan,20,Pali,
8,Rajasthan,21,Ajmer,
8,Rajasthan,22,Tonk,
8,Rajasthan,23,Bundi,
8,Rajasthan,24,Bhilwara,
8,Rajasthan,25,Rajsamand,
8,Rajasthan,26,Udaipur,
8,Rajasthan,27,Dungarpur,
8,Rajasthan,28,Banswara,
8,Rajasthan,29,Chittaurgarh,
8,Rajasthan,30,Kota,
8,Rajasthan,31,Baran,
8,Rajasthan,32,Jhalawar,
,,,,
9,Uttar Pradesh,1,Saharanpur,
9,Uttar Pradesh,2,Muzaffarnagar,
9,Uttar Pradesh,3,Bijnor,
9,Uttar Pradesh,4,Moradabad,
9,Uttar Pradesh,5,Rampur,
9,Uttar Pradesh,6,Jyotiba Phule Nagar,
9,Uttar Pradesh,7,Meerut,
9,Uttar Pradesh,8,Baghpat,
9,Uttar Pradesh,9,Ghaziabad,
9,Uttar Pradesh,10,Gautam Buddha Nagar,
9,Uttar Pradesh,11,Bulandshahar,
9,Uttar Pradesh,12,Aligarh,
9,Uttar Pradesh,13,Hathras,
9,Uttar Pradesh,14,Mathura,
9,Uttar Pradesh,15,Agra,
9,Uttar Pradesh,16,Firozabad,
9,Uttar Pradesh,17,Etah,
9,Uttar Pradesh,18,Mainpuri,
9,Uttar Pradesh,19,Budaun,
9,Uttar Pradesh,20,Bareilly,
9,Uttar Pradesh,21,Pilibhit,
9,Uttar Pradesh,22,Shahjahanpur,
9,Uttar Pradesh,23,Kheri,
9,Uttar Pradesh,24,Sitapur,
9,Uttar Pradesh,25,Hardoi,
9,Uttar Pradesh,26,Unnao,
9,Uttar Pradesh,27,Lucknow,
9,Uttar Pradesh,28,Rae Bareli,
9,Uttar Pradesh,29,Farrukhabad,
